Data,Total
mai-1963,7593
jun-1963,7591
jul-1963,7614
ago-1963,7669
set-1963,7537
out-1963,7566
nov-1963,7574
dez-1963,7541
jan-1964,7654
fev-1964,7719
mar-1964,7740
abr-1964,7769
mai-1964,7603
jun-1964,7591
jul-1964,7503
ago-1964,7479
set-1964,7562
out-1964,7654
nov-1964,7664
dez-1964,7800
jan-1965,7803
fev-1965,7838
mar-1965,7893
abr-1965,7925
mai-1965,7716
jun-1965,7779
jul-1965,7695
ago-1965,7779
set-1965,7448
out-1965,7905
nov-1965,8018
dez-1965,8212
jan-1966,8079
fev-1966,8274
mar-1966,8325
abr-1966,8303
mai-1966,8381
jun-1966,8382
jul-1966,8269
ago-1966,8294
set-1966,8295
out-1966,8370
nov-1966,8477
dez-1966,8562
jan-1967,8620
fev-1967,8675
mar-1967,8596
abr-1967,8527
mai-1967,8446
jun-1967,8608
jul-1967,9226
ago-1967,9512
set-1967,9186
out-1967,9111
nov-1967,9112
dez-1967,9037
jan-1968,9177
fev-1968,9479
mar-1968,9492
abr-1968,9298
mai-1968,9391
jun-1968,9341
jul-1968,9351
ago-1968,9328
set-1968,9113
out-1968,9098
nov-1968,9160
dez-1968,9098
jan-1969,9065
fev-1969,9112
mar-1969,9245
abr-1969,9439
mai-1969,9567
jun-1969,9833
jul-1969,9488
ago-1969,9270
set-1969,9479
out-1969,9431
nov-1969,9565
dez-1969,9744
jan-1970,9713
fev-1970,9788
mar-1970,9732
abr-1970,9817
mai-1970,9760
jun-1970,9588
jul-1970,9433
ago-1970,9782
set-1970,10075
out-1970,10251
nov-1970,10285
dez-1970,10170
jan-1971,9854
fev-1971,9940
mar-1971,9977
abr-1971,9985
mai-1971,9877
jun-1971,9832
jul-1971,9686
ago-1971,9634
set-1971,9355
out-1971,9383
nov-1971,9357
dez-1971,9308
jan-1972,9321
fev-1972,9524
mar-1972,9664
abr-1972,9715
mai-1972,9815
jun-1972,9725
jul-1972,9698
ago-1972,9678
set-1972,9704
out-1972,9680
nov-1972,9624
dez-1972,9532
jan-1973,9371
fev-1973,9611
mar-1973,9446
abr-1973,9489
mai-1973,9462
jun-1973,9412
jul-1973,9419
ago-1973,9376
set-1973,9266
out-1973,9424
nov-1973,9356
dez-1973,9259
jan-1974,9125
fev-1974,9332
mar-1974,9148
abr-1974,9134
mai-1974,9102
jun-1974,8982
jul-1974,8982
ago-1974,8899
set-1974,8639
out-1974,8808
nov-1974,8765
dez-1974,8718
jan-1975,8648
fev-1975,8783
mar-1975,8683
abr-1975,8645
mai-1975,8571
jun-1975,8611
jul-1975,8526
ago-1975,8439
set-1975,8475
out-1975,8516
nov-1975,8470
dez-1975,8446
jan-1976,8425
fev-1976,8422
mar-1976,8422
abr-1976,8236
mai-1976,8274
jun-1976,8244
jul-1976,8298
ago-1976,8284
set-1976,8322
out-1976,8242
nov-1976,8255
dez-1976,8236
jan-1977,8026
fev-1977,8306
mar-1977,8254
abr-1977,8308
mai-1977,8241
jun-1977,8387
jul-1977,8476
ago-1977,8945
