Data,Total
dez/03,17669
jan/04,17730
fev/04,17650
mar/04,17831
abr/04,17629
mai/04,17611
jun/04,17140
jul/04,17265
ago/04,16676
set/04,16112
out/04,16445
nov/04,17218
dez/04,17473
jan/05,17255
fev/05,17421
mar/05,17724
abr/05,17585
mai/05,17684
jun/05,17157
jul/05,16536
ago/05,16431
set/05,13459
out/05,14528
nov/05,15445
dez/05,15804
jan/06,15975
fev/06,15915
mar/06,15834
abr/06,16044
mai/06,16254
jun/06,16270
jul/06,15963
ago/06,15741
set/06,15752
out/06,16039
nov/06,15844
dez/06,16345
jan/07,16096
fev/07,16105
mar/07,16101
abr/07,16288
mai/07,16398
jun/07,15940
jul/07,15830
ago/07,15554
set/07,15345
out/07,15761
nov/07,15844
dez/07,16067
jan/08,16055
fev/08,16152
mar/08,16295
abr/08,16245
mai/08,16110
jun/08,16067
jul/08,16172
ago/08,15554
set/08,12602
out/08,14930
nov/08,15963
dez/08,16013
jan/09,16110
fev/09,16423
mar/09,16364
abr/09,16487
mai/09,16808
jun/09,16379
jul/09,16742
ago/09,16826
set/09,17328
out/09,17231
nov/09,16846
dez/09,17011
jan/10,16850
fev/10,17297
mar/10,17194
abr/10,16817
mai/10,16774
jun/10,16672
jul/10,16437
ago/10,16879
set/10,17460
out/10,17509
nov/10,17336
dez/10,17434
jan/11,16953
fev/11,16828
mar/11,17465
abr/11,17294
mai/11,17456
jun/11,17320
jul/11,16768
ago/11,17522
set/11,17425
out/11,18274
nov/11,18708
dez/11,18930
jan/12,19122
fev/12,19386
mar/12,19550
abr/12,19511
mai/12,19654
jun/12,19317
jul/12,19710
ago/12,19456
set/12,20298
out/12,21454
nov/12,21801
dez/12,21876
jan/13,21797
fev/13,21977
mar/13,22174
abr/13,22642
mai/13,22491
jun/13,22320
jul/13,23057
ago/13,23031
set/13,24024
out/13,23802
nov/13,24295
dez/13,24341
jan/14,24755
fev/14,24962
mar/14,25403
abr/14,26098
mai/14,26433
jun/14,26687
jul/14,26932
ago/14,27157
set/14,27686
out/14,28251
nov/14,28430
dez/14,29153
jan/15,28623
fev/15,28977
mar/15,29232
abr/15,29453
mai/15,28862
jun/15,28490
jul/15,28749
ago/15,28604
set/15,28880
out/15,28674
nov/15,28496
dez/15,28327
jan/16,28131
fev/16,27698
mar/16,27829
abr/16,27122
mai/16,27016
jun/16,26507
jul/16,26441
ago/16,26535
set/16,26090
out/16,26915
nov/16,27232
dez/16,26974
jan/17,27135
fev/17,27845
mar/17,28027
abr/17,27833
mai/17,28073
jun/17,27791
jul/17,28165
ago/17,28195
set/17,29022
out/17,29511
nov/17,30770
dez/17,30475
jan/18,30517
fev/18,31357
mar/18,31914
abr/18,31984
mai/18,31792
jun/18,32372
jul/18,33099
ago/18,34611
set/18,34811
out/18,35038
nov/18,36228
dez/18,36451
jan/19,36114
fev/19,35505
mar/19,36213
abr/19,36904
mai/19,36934
jun/19,37119
jul/19,36155
ago/19,37839
set/19,38217
out/19,38895
nov/19,39467
dez/19,39425
jan/20,39033
fev/20,39008
mar/20,38857
abr/20,36194
mai/20,29546
jun/20,31699
jul/20,33469
ago/20,32199
set/20,33245
out/20,31867
nov/20,34094
dez/20,34001
jan/21,33914
fev/21,30272
mar/21,34569
abr/21,34505
mai/21,34712
jun/21,34623
jul/21,34628
ago/21,34353
set/21,33304
out/21,35348
nov/21,36048
dez/21,35708
jan/22,34776
fev/22,34853
mar/22,36063
abr/22,35879
mai/22,35672
jun/22,36157
jul/22,36407
ago/22,36780
set/22,37745
out/22,37730
nov/22,37845
dez/22,36971
jan/23,38278
fev/23,38216
mar/23,38886
abr/23,38476
mai/23,38622
jun/23,39021
jul/23,39204
ago/23,39540
set/23,39944
out/23,39873
nov/23,40272
dez/23,40354
jan/24,38086
fev/24,39739
mar/24,39951
abr/24,40176
mai/24,40020
jun/24,40118
jul/24,40028
ago/24,40599
